"created_at","status_id","text","retweet_count","favorite_count","screen_name","mentions_screen_name","hashtags","is_retweet"
2016-12-20 18:29:01,"811277239153201152",".@USGSA and @whitehouseostp launch resources to help federal staff run challenge and prize competitions https://t.co/7wlCAnnJZD",11,9,"18F","USGSA,whitehouseostp",NA,FALSE
2016-12-14 15:07:49,"809052280192466944","NEW: @USGSA tells House Democrats Trump must divest from DC hotel or ""be in breach of the lease agreement the momen… https://t.co/W5MsjvhrLW",116,104,"ABCPolitics","USGSA",NA,FALSE
2016-12-15 16:17:54,"809432305211211776","Agreed @WyattKash Really wish @USGSA would focus on purchase vehicles for reusable micro cloud SaaS+PaaS @fedscoop @fedrampashley @MrFedRAMP",16,15,"fcc_cio","WyattKash,USGSA,fedscoop,fedrampashley,MrFedRAMP",NA,FALSE
2016-12-21 03:01:29,"811406206531235840","The @USGSA, &amp; @WhiteHouse are helping the 2016 campaigns lay out the future of #FedIT: https://t.co/Q5iLR609v1 https://t.co/Z7JMJEu06D",0,0,"FedTechMagazine","USGSA,WhiteHouse","FedIT",FALSE
2016-12-21 02:15:59,"811394757763207168","RT @mika_cross: Great event on #Women in IT w/@camilletuutti @USOPM @SBAgov @USGSA @AFFIRMtweets Feds are FREE @YGLNational @YAFCEA https:/…",3,0,"PMICUS","mika_cross,camilletuutti,USOPM,SBAgov,USGSA,AFFIRMtweets,YGLNational,YAFCEA","Women",TRUE
2016-12-21 00:32:56,"811368822905049088","@attorneygeneral @USGSA Trump &amp; his Trumpets are already shaking down other countries. Quid pro quo? Stop them!… https://t.co/qsJdhH5G5u",0,1,"SheilaUtz1","attorneygeneral,USGSA",NA,FALSE
2016-12-20 23:49:38,"811357926585532416","RT @18F: .@USGSA and @whitehouseostp launch resources to help federal staff run challenge and prize competitions https://t.co/7wlCAnnJZD",11,0,"scottnasello","18F,USGSA,whitehouseostp",NA,TRUE
2016-12-20 23:45:26,"811356868333436928","RT @18F: .@USGSA and @whitehouseostp launch resources to help federal staff run challenge and prize competitions https://t.co/7wlCAnnJZD",11,0,"_OpalPerry","18F,USGSA,whitehouseostp",NA,TRUE
2016-12-20 23:42:36,"811356157621235712","@SenWarren  This event is in February-Impeachment time he directly violates Emoluments  clause. @USGSA-Needs to rev… https://t.co/AbubhgnTX0",0,0,"mejay227","SenWarren,USGSA",NA,FALSE
2016-12-20 23:02:18,"811346015433490432","How &amp; why @USGSA wants to be a one-stop shop for #FedIT modernization: https://t.co/8uXGNhlHy9 https://t.co/FXdJt2hPrR",0,1,"FedTechMagazine","USGSA","FedIT",FALSE
2016-12-20 22:50:13,"811342975234088960",".@NGA_GEOINT, HQ in #Springfield, teaming with @USGSA to solicit commercially produced images &amp; data, via @DoDWire. https://t.co/JjGMpYCp4r",0,0,"FairfaxEDA_IM","NGA_GEOINT,USGSA,DoDWire","Springfield",FALSE
2016-12-20 22:36:58,"811339638409404416","GSA Making it Easier for Suppliers to Do Business with the Government https://t.co/K6M4XFF7D1 via @GovDelivery",0,0,"GSAR6smallbiz","GovDelivery",NA,FALSE
